"Camera","Camera_type","Site","Day","Date","Time","Number_of_bees_2min","LM_2min","HS_2min","Number_of_bees_4min","LM_4min","HS_4min","Number_of_bees_6min","LM_6min","HS_6min","Number_of_bees_8min","LM_8min","HS_8min","Number_of_bees_10min","LM_10min","HS_10min","Avg_total_number_of_HS","Avg_total_number_of_LM","Avg_total_number_of_bees","Duration_of_nest_opening_HS","Avg_duration_of_nest_guarding_LM","Avg_duration_of_nest_guarding_HS","Duration_of_nest_closing_HS","Incoming_frequency_LM","Outgoing_frequency_LM","Incoming_frequency_HS","Outgoing_frequency_HS","Thermochron_1","Thermochron_10","Thermochron_2","Thermochron_3","Thermochron_4","Thermochron_6","Thermochron_7","Thermochron_8","Thermochron_9","Avg_T_ambient","Avg_T_H_scab","Avg_T_L_mala","Avg_lux_light_logger"
"Sveta","Focal",2,5,"19/4",12,1,0,1,3,2,1,1,0,1,5,2,3,2,0,1,1.4,1,2.4,NA,NA,661,NA,0,0,0,0,26.0666666666667,16.4833333333333,35.95,23.05,22.1,16.5833333333333,20.6833333333333,14.6333333333333,15.8333333333333,NA,NA,NA,NA
"Sveta","Focal",2,5,"19/4",13,4,1,3,1,0,1,3,0,3,0,0,0,1,0,1,1.6,0.2,1.8,NA,NA,93,NA,1,0,2,1,24.55,17.7333333333333,37.5833333333333,25.45,24.6,18.8166666666667,22.0666666666667,16.6333333333333,17.1333333333333,NA,NA,NA,NA
"Sveta","Focal",2,5,"19/4",14,0,0,0,2,1,1,2,1,1,1,0,1,1,0,1,0.8,0.4,1.2,NA,NA,NA,NA,0,0,0,0,22.9,18.9,34.4833333333333,26.2,25.2833333333333,21.5333333333333,22.8666666666667,19.1166666666667,18.1666666666667,18.7610126582278,18.9788607594937,19.9407594936709,16686.16
"Sveta","Focal",2,5,"19/4",15,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.4,0,0.4,NA,NA,NA,NA,0,0,0,0,23,19.0166666666667,30.2666666666667,25.4,26.95,22.15,22.25,20.6666666666667,19,22.0631666666667,26.9730555555556,26.9748611111111,27698.7733333333
"Sveta","Focal",2,5,"19/4",16,0,0,0,0,0,0,2,0,2,1,1,0,1,1,0,0.4,0.2,0.8,NA,NA,NA,NA,0,0,0,0,23.3166666666667,19.25,25.4666666666667,24.4,31.3166666666667,22.0833333333333,22,20.8666666666667,19,20.6870277777778,25.7488055555556,25.9199166666667,17247.8293333333
"Sveta","Focal",2,5,"19/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,NA,NA,NA,NA,0,0,0,0,23.7166666666667,19,19.3666666666667,21.6833333333333,27.1333333333333,20.0666666666667,21.1666666666667,19.55,19,17.8994722222222,22.6620833333333,22.7810555555556,7614.37866666667
"Sveta","Focal",2,6,"20/4",10,2,0,2,1,0,1,2,0,2,1,0,1,0,0,0,1.2,0,1.2,59,NA,40,NA,4,0,7,5,30.4833333333333,13.9333333333333,31.0333333333333,16.75,16.6666666666667,13.2,16.9833333333333,12.4333333333333,13.8,24.2855833333333,26.60275,26.581,59551.4026666667
"Sveta","Focal",2,6,"20/4",11,1,0,1,1,0,1,2,0,2,0,0,0,2,2,0,0.8,0,1.2,NA,NA,107,NA,3,2,2,2,29.6666666666667,15.35,35.95,20.7166666666667,19.3166666666667,14.3166666666667,19.8166666666667,13.3833333333333,14.8666666666667,25.1202777777778,28.85575,31.5174166666667,66832.7253333333
"Sveta","Focal",2,6,"20/4",12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4,1.2,0.4,0.4,NA,NA,213.67,NA,0,0,1,1,27.3333333333333,16.7666666666667,37.25,24.05,21.6833333333333,15.85,21.7166666666667,14.85,16.2833333333333,23.6494444444444,33.6105833333333,33.6675555555556,66910.5493333333
"Sveta","Focal",2,6,"20/4",13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,NA,NA,NA,NA,1,0,0,0,23.6166666666667,18.2166666666667,36.45,25.6666666666667,20.0833333333333,17.0333333333333,23,18.2833333333333,17.4333333333333,23.4954722222222,33.2878333333333,32.76725,69832.704
"Sveta","Focal",2,6,"20/4",14,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0.6,0,0.6,NA,NA,NA,NA,0,0,0,0,21.5833333333333,19,35.2,26.2666666666667,21.0166666666667,19.6333333333333,23.9,20.7666666666667,18.4833333333333,23.8775555555556,30.9070833333333,30.6707222222222,46330.5386666667
"Sveta","Focal",2,6,"20/4",15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0.2,NA,NA,NA,NA,0,0,1,1,22.2666666666667,19.95,29.8333333333333,25.4666666666667,25.1666666666667,21.6833333333333,23.8166666666667,22,19,23.6310555555556,29.3607777777778,30.0343888888889,43484.5013333333
"Sveta","Focal",2,6,"20/4",16,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.2,0,0.4,NA,NA,NA,NA,0,0,0,0,21.3333333333333,20,23.6333333333333,23.2833333333333,27.7666666666667,21.1333333333333,22.4166666666667,21.5,19,20.8740277777778,25.4633333333333,28.0579166666667,11219.84
"Sveta","Focal",2,6,"20/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,21.3220338983051,19.4333333333333,18.6,21.0666666666667,25.85,20.3166666666667,20.8166666666667,20.2666666666667,19.2666666666667,18.1459166666667,22.4346111111111,23.2683888888889,6456.68266666667
"Sveta","Focal",2,7,"21/4",9,1,0,1,3,1,2,1,0,1,0,0,0,1,0,1,1,0.2,1.2,35,NA,89,15,0,0,1,3,34.9,13.8,19.7666666666667,15.5666666666667,14.7833333333333,12.9833333333333,14,12.4833333333333,14,20.3978333333333,16.8544722222222,17.9629444444444,41337.6
"Sveta","Focal",2,7,"21/4",10,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0.8,0,0.8,118,NA,75,NA,0,0,0,0,38.1833333333333,14.4333333333333,30.3,19.5833333333333,17.0666666666667,14,14.9833333333333,13,14.55,25.6385277777778,25.2321944444444,28.0727222222222,60181.1626666667
"Sveta","Focal",2,7,"21/4",11,4,2,2,5,2,3,2,1,1,4,1,3,3,2,1,2,1.2,3.6,NA,NA,NA,NA,3,3,6,3,38.4666666666667,15.9166666666667,38.0333333333333,23.7166666666667,19,15.0666666666667,16.6166666666667,13.9333333333333,16.15,26.7082777777778,29.4862222222222,32.59775,66204.3306666667
"Sveta","Focal",2,7,"21/4",12,2,1,1,2,1,1,2,1,1,4,1,3,2,0,2,1.6,1.2,2.4,NA,NA,NA,NA,0,0,1,2,34.8833333333333,17.6,41.6,26.8166666666667,20.4666666666667,16,18.5,15.1166666666667,17.6666666666667,25.2510555555556,35.0288888888889,34.9943333333333,71797.4186666667
"Sveta","Focal",2,7,"21/4",13,2,1,1,0,0,0,5,3,2,3,1,2,2,1,1,1.2,1,2.4,NA,98,NA,NA,2,1,0,0,30.5833333333333,19.2166666666667,37.4166666666667,27.25,21.75,17.0666666666667,19.8166666666667,17.0666666666667,19,25.6452222222222,35.6979166666667,35.1074166666667,70237.8666666667
"Sveta","Focal",2,7,"21/4",14,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0.4,0.6,1,NA,NA,NA,NA,0,0,0,0,24.4666666666667,20.2666666666667,42.7333333333333,29.6666666666667,24.2333333333333,21.2333333333333,21.0833333333333,19.1333333333333,20.2166666666667,26.5515555555556,34.1362222222222,33.6535277777778,43871.0613333333
"Sveta","Focal",2,7,"21/4",15,1,0,1,3,0,3,1,0,1,1,0,1,2,0,2,1.6,0.2,1.6,NA,NA,NA,NA,0,0,0,0,23.2833333333333,21,41.0333333333333,29.7666666666667,28.0666666666667,25.45,22,20.7333333333333,21,25.51675,31.0656388888889,31.7791388888889,40908.032
"Sveta","Focal",2,7,"21/4",16,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0.6,0,0.6,NA,NA,NA,NA,0,0,0,0,22.9833333333333,21,33.5166666666667,26.25,28.7666666666667,25.5,22,21,21.4,23.1782222222222,28.24075,31.3025555555556,13444.0533333333
"Sveta","Focal",2,7,"21/4",17,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0.6,0,0.6,NA,NA,NA,NA,0,0,0,0,21.5833333333333,21,20.0333333333333,22.3166666666667,24.8166666666667,21.7666666666667,21.2,20.6833333333333,21,19.4072777777778,23.7200555555556,24.7264722222222,6277.14133333333
"Sveta","Focal",2,8,"22/4",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,20.5333333333333,15.95,17.8166666666667,17.55,17.45,15.6833333333333,16.1666666666667,15.1333333333333,16,17.8374166666667,19.3833888888889,16.56525,10202.24
